A matter of time,cuestión de tiempo
A means by which,un medio por el cual
Against the law,en contra de la ley
All in all,"en términos generales, a fin de cuentas"
As a result,como resultado
As might be expected,como cabría esperar
As part of,como parte / miembro de
At a time,a la vez
At its height,en su apogeo
At that time,por aquella época
At this point,a estas alturas
Bear in mind,tener en cuenta
Brace yourself,"agárrate, prepárate"
But nor should,pero tampoco debería
By chance,de casualidad
By no means ,de ninguna manera
By the early twentieth century,a principios del siglo 20
During which,durante los cuales
Either way,de cualquier manera
Ever since,desde que
Every other way,"en todo lo demás, en cualquier otro aspecto"
For a long time to come,"por mucho tiempo, a largo plazo"
For some... for others,para unos... para otros
From a personal point of view,desde un punto de vista personal
From time to time,de vez en cuando
Get your heart pumping,bombear el corazón
Give a test run,hacer la prueba
Hardly anyone,casi nadie
In addition to this,además de esto
In no time at all,en cuestión de segundos
Instead of,en lugar de
Keep going ,continuar
Many of whom,muchos de los cuales
On board,a bordo
On the outskirts,a las afueras
Pull yourself together,recobrar la compostura
Push oneself,"esforzarte, obligarte"
Rather than,más que
Risk life and limb,arriesgar la vida
Safe and sound,sano y salvo
Set a fire,hacer un fuego
To be what it was,ser lo que era
What this means,lo que esto significa
Able,Enable - Activar
Able ,Unable - Incapaz
Accident,Accidentally - Accidentalmente
Achieve,Achievement - Logro
Active ,Activity - Actividad
Add,Addition - Adición
Addition,Additional - Adicional
Agree,Agreement - Acuerdo
Agriculture,Agricultural - Agrícola
Amaze,Amazement - Asombro
America,American - Americano
Analyse,Analysis - Análisis
Angry,Anger - Ira
Annual ,Annually - Anualmente
Anxiety,Anxious - Ansioso
Appear,Appearance - Apariencia
Arrive,Arrival - Llegada
Assist,Assistance - Asistencia
Attract,Attractive - Atractivo
Believe,Unbelievable - Increíble
Bitter,Bitterly - Amargamente
Breath,Breathless - Jadeante
Cancel,Cancellation - Cancelación
Care,Careless - Descuidado
Challenge,Challenging - Desafiante
Character,Characteristic - Característico
Cheer,Cheerfully - Alegremente
Choose,Choice - Elección
Clear,Unclear - Confuso
Coast,Coastal - Costero
Comfort,Uncomfortable - Incómodo
Comfort ,Comfortably - Cómodamente
Communicate,Communication - Comunicación
Compete,Competitor - Competidor
Concentrate,Concentration - Concentración
Conclude,Conclusion - Conclusión
Connect,Connection - Conexión
Conscious,Unconsciously - Inconscientemente
Consequence,Consequently - Consecuentemente
Consider,Considerably - Considerablemente
Convince,Unconvinced - Desconfiado
